"ENSDARG00000085871"	"5S_rRNA"
"ENSDARG00000034855"	"ccnb3"
"ENSDARG00000084624"	"5S_rRNA"
"ENSDARG00000018228"	"htr2cl1"
"ENSDARG00000080681"	"dre-mir-730"
"ENSDARG00000069600"	"zgc:109889"
"ENSDARG00000036560"	"si:dkey-24g18.3"
"ENSDARG00000097133"	"si:dkey-24g18.4"
"ENSDARG00000030176"	"ITGB1BP2"
"ENSDARG00000029170"	"si:ch211-200p22.4"
"ENSDARG00000088109"	"5S_rRNA"
"ENSDARG00000036499"	"zgc:162171"
"ENSDARG00000036501"	"rab39b"
"ENSDARG00000030241"	"vbp1"
"ENSDARG00000036505"	"syt4"
"ENSDARG00000076443"	"CR388231.1"
"ENSDARG00000086979"	"CR388231.2"
"ENSDARG00000024598"	"HOMEZ
"ENSDARG00000012640"	"cideb"
"ENSDARG00000054473"	"tinf2"
"ENSDARG00000021135"	"DHRS2"
"ENSDARG00000088835"	"CR388231.3"
"ENSDARG00000026842"	"acin1b"
"ENSDARG00000081623"	"snoU6-53"
"ENSDARG00000083434"	"snoU6-53"
"ENSDARG00000080493"	"snoU6-53"
"ENSDARG00000077842"	"ajuba"
"ENSDARG00000090568"	"MRPL52"
"ENSDARG00000002235"	"mmp14a"
"ENSDARG00000054539"	"LRP10"
"ENSDARG00000027907"	"CR318603.2"
"ENSDARG00000061301"	"gmpr2"
"ENSDARG00000007989"	"nedd8"
"ENSDARG00000075831"	"SLC7A8B"
"ENSDARG00000013526"	"SVEP1"
"ENSDARG00000085359"	"5S_rRNA"
"ENSDARG00000044125"	"txn"
"ENSDARG00000087017"	"PTGR1
"ENSDARG00000024877"	"ptgr1"
"ENSDARG00000061385"	"haus3"
"ENSDARG00000077256"	"nat8l"
"ENSDARG00000089877"	"C7H4orf48"
"ENSDARG00000061411"	"nelfa"
"ENSDARG00000054786"	"faah2b"
"ENSDARG00000054805"	"btr09"
"ENSDARG00000079281"	"TESK1
"ENSDARG00000054829"	"pik3c3"
