"ENSMUSG00000026035.9"	"Ppil3"
"ENSMUSG00000026036.10"	"Nif3l1"
"ENSMUSG00000026037.8"	"Orc2"
"ENSMUSG00000064701.1"	"U6"
"ENSMUSG00000085054.2"	"Gm15834"
"ENSMUSG00000038174.8"	"Fam126b"
"ENSMUSG00000026032.8"	"Ndufb3"
"ENSMUSG00000059647.4"	"Gm10068"
"ENSMUSG00000047528.7"	"Als2cr12"
"ENSMUSG00000026031.9"	"Cflar"
"ENSMUSG00000026029.8"	"Casp8"
"ENSMUSG00000026028.6"	"Trak2"
"ENSMUSG00000026027.7"	"Stradb"
"ENSMUSG00000047383.6"	"Als2cr11"
"ENSMUSG00000090590.1"	"Gm17570"
"ENSMUSG00000072295.4"	"Als2cr11"
"ENSMUSG00000077616.1"	"SNORA17"
"ENSMUSG00000038079.7"	"Als2cr4"
"ENSMUSG00000079550.2"	"Mpp4"
"ENSMUSG00000026024.8"	"Als2"
"ENSMUSG00000026023.9"	"Cdk15"
"ENSMUSG00000041075.7"	"Fzd7"
"ENSMUSG00000092149.1"	"Gm17453"
"ENSMUSG00000047361.8"	"Gm973"
"ENSMUSG00000089276.1"	"7SK"
"ENSMUSG00000026021.9"	"Sumo1"
"ENSMUSG00000026020.2"	"Nop58"
"ENSMUSG00000077345.1"	"Snord70"
"ENSMUSG00000077358.1"	"SNORD70"
"ENSMUSG00000089512.1"	"SNORD11"
"ENSMUSG00000089093.1"	"Snord11"
"ENSMUSG00000067336.4"	"Bmpr2"
"ENSMUSG00000041040.6"	"Fam117b"
"ENSMUSG00000026018.6"	"Ica1l"
"ENSMUSG00000026019.9"	"Wdr12"
"ENSMUSG00000026017.5"	"Carf"
"ENSMUSG00000082609.1"	"Gm15464"
"ENSMUSG00000073664.4"	"Nbeal1"
"ENSMUSG00000049439.7"	"Cyp20a1"
"ENSMUSG00000026782.8"	"Abi2"
"ENSMUSG00000026014.7"	"Raph1"
"ENSMUSG00000081562.1"	"Gm11575"
"ENSMUSG00000084400.1"	"Gm11576"
"ENSMUSG00000082160.1"	"Gm11578"
"ENSMUSG00000088973.1"	"AL683804.1"
"ENSMUSG00000084151.1"	"Gm11577"
"ENSMUSG00000082209.1"	"Eif4a-ps4"
"ENSMUSG00000026012.2"	"Cd28"
"ENSMUSG00000086795.1"	"Gm11579"
"ENSMUSG00000085965.1"	"2310016D23Rik"
"ENSMUSG00000083118.1"	"Gm11609"
"ENSMUSG00000083355.1"	"Gm11581"
"ENSMUSG00000026011.6"	"Ctla4"
"ENSMUSG00000081382.1"	"Rpl18-ps1"
"ENSMUSG00000080800.1"	"Gm11582"
"ENSMUSG00000026009.8"	"Icos"
"ENSMUSG00000082804.2"	"Rpl17-ps1"
"ENSMUSG00000082661.1"	"Gm11590"
"ENSMUSG00000080785.1"	"Gm11591"
"ENSMUSG00000085248.1"	"Gm11587"
"ENSMUSG00000085447.1"	"9530026F06Rik"
"ENSMUSG00000086408.1"	"Gm11588"
"ENSMUSG00000089546.1"	"U6"
"ENSMUSG00000086009.1"	"4930587A21Rik"
"ENSMUSG00000052062.7"	"Pard3b"
"ENSMUSG00000085842.1"	"4930448K12Rik"
"ENSMUSG00000085019.1"	"Gm12747"
"ENSMUSG00000085400.1"	"Gm11610"
"ENSMUSG00000046526.6"	"Pard3b"
"ENSMUSG00000081950.1"	"Gm11600"
"ENSMUSG00000084333.1"	"Gm11599"
"ENSMUSG00000025969.9"	"Nrp2"
"ENSMUSG00000040865.8"	"Ino80d"
"ENSMUSG00000088953.1"	"SNORA17"
"ENSMUSG00000081617.1"	"Gm11601"
"ENSMUSG00000081429.1"	"Gm11603"
"ENSMUSG00000084799.1"	"Gm11602"
"ENSMUSG00000025968.9"	"Ndufs1"
"ENSMUSG00000025967.9"	"Eef1b2"
"ENSMUSG00000064612.1"	"SNORD51"
"ENSMUSG00000064602.1"	"Snora41"
"ENSMUSG00000046856.7"	"Gpr1"
"ENSMUSG00000092874.1"	"AL645950.1"
"ENSMUSG00000086730.1"	"Gm11607"
"ENSMUSG00000087561.1"	"Gm11608"
"ENSMUSG00000092705.1"	"AL669947.1"
"ENSMUSG00000027520.8"	"Zdbf2"
"ENSMUSG00000065946.1"	"U6"
"ENSMUSG00000083039.1"	"Gm11606"
"ENSMUSG00000081643.1"	"Gm11605"
"ENSMUSG00000025964.7"	"Adam23"
"ENSMUSG00000087823.1"	"U6"
"ENSMUSG00000069085.5"	"Dytn"
"ENSMUSG00000083066.1"	"Gm12748"
"ENSMUSG00000025963.4"	"Mdh1b"
"ENSMUSG00000025962.8"	"Fastkd2"
"ENSMUSG00000025961.1"	"4933402D24Rik"
"ENSMUSG00000080817.1"	"Gm13751"
"ENSMUSG00000082373.1"	"Gm13754"
"ENSMUSG00000044689.5"	"Gm13749"
"ENSMUSG00000025959.6"	"Klf7"
"ENSMUSG00000090886.1"	"Gm17427"
"ENSMUSG00000086836.1"	"Gm13748"
"ENSMUSG00000086721.2"	"Gm13750"
"ENSMUSG00000093228.1"	"AC167197.1"
"ENSMUSG00000025958.7"	"Creb1"
"ENSMUSG00000025956.4"	"Mettl21a"
"ENSMUSG00000087213.1"	"2810408I11Rik"
"ENSMUSG00000070871.4"	"Ccnyl1"
"ENSMUSG00000045005.8"	"Fzd5"
"ENSMUSG00000051344.7"	"Plekhm3"
"ENSMUSG00000084416.2"	"Rpl10a-ps1"
"ENSMUSG00000077471.1"	"U1"
"ENSMUSG00000025955.7"	"Akr1cl"
"ENSMUSG00000090042.1"	"Gm8550"
"ENSMUSG00000070870.6"	"Cryge"
"ENSMUSG00000067299.5"	"Crygd"
"ENSMUSG00000025952.9"	"Crygc"
"ENSMUSG00000073658.2"	"Crygb"
"ENSMUSG00000044429.8"	"Cryga"
"ENSMUSG00000044816.4"	"D630023F18Rik"
"ENSMUSG00000025950.9"	"Idh1"
"ENSMUSG00000025949.9"	"Pikfyve"
"ENSMUSG00000025946.7"	"Pth2r"
"ENSMUSG00000082565.1"	"Gm5255"
"ENSMUSG00000082774.1"	"Gm8805"
"ENSMUSG00000025945.5"	"Crygf"
"ENSMUSG00000081623.1"	"Gm8809"
